category,sub_category,city,name,area,address,phone_no_1,phone_no2,source,ratings,state,country,email,latitude,longitude,reviews,facebook_url,linkdin_url,twitter_url,description,pincode,virtual_phone_no,whatsapp_no,phone_no_3,avg_spent,cost_of_two
Shopping,Electronics & Appliances,Kakinada,Reliance Digital,"1st Floor, SRMT Mall Ramanyyapeta","1st Floor, SRMT Mall Ramanyyapeta, opposite Muralidhar Nagar, Gate, Lalitha Nagar, Kakinada, Andhra Pradesh 533005",,,,,Andhra Pradesh,India,,,,,,,,,533005.0,,,,,
Shopping,Electronics & Appliances,Kakinada,Reliance Digital,"D No 13/5/2, 1st Floor","D No 13/5/2, 1st Floor, Ramasomayajulu St, beside C & C Theatre, Surya Rao Peta, Kakinada, Andhra Pradesh 533001",,,,,Andhra Pradesh,India,,,,,,,,,533001.0,,,,,
Shopping,Electronics & Appliances,Kakinada,S.L.ELECTRONICS,"Ramanayapeta, Kakinada","Ramanayapeta, Kakinada, Andhra Pradesh 533005",,,,,Andhra Pradesh,India,,,,,,,,,533005.0,,,,,
Shopping,Electronics & Appliances,Kakinada,R.H Electronics,"G-3 Vanipradha Arcade, Main road opp SBI","G-3 Vanipradha Arcade, Main road opp SBI, Kakinada, Andhra Pradesh 533001",,,,,Andhra Pradesh,India,,,,,,,,,533001.0,,,,,
Shopping,Electronics & Appliances,Kakinada,SEETHARAMA ELECTRONICS,"20-1-37, Main Rd","20-1-37, Main Rd, Suryanarayana Puram, Kakinada, Andhra Pradesh 533001",,,,,Andhra Pradesh,India,,,,,,,,,533001.0,,,,,
Shopping,Electronics & Appliances,Kakinada,Arihant electronics,"Ramasomayajulu St, Surya Rao Peta","Ramasomayajulu St, Surya Rao Peta, Kakinada, Andhra Pradesh 533001",,,,,Andhra Pradesh,India,,,,,,,,,533001.0,,,,,
Shopping,Electronics & Appliances,Kakinada,"Sathya Agencies, Kakinada - Electronics and Home Appliances Store - Buy Latest Mobiles, AC, TV, Washing Machine etc.","Door no 5-1-53, Madireddy Vari Veethi","Door no 5-1-53, Madireddy Vari Veethi, Main Rd, near two town police station, Surya Rao Peta, Kakinada, Andhra Pradesh 533001",,,,,Andhra Pradesh,India,,,,,,,,,533001.0,,,,,
Shopping,Electronics & Appliances,Kakinada,BHAGYASRI ELECTRONICS,"Surya Rao Peta, Kakinada","Surya Rao Peta, Kakinada, Andhra Pradesh 533001",,,,,Andhra Pradesh,India,,,,,,,,,533001.0,,,,,
Shopping,Electronics & Appliances,Kakinada,Sonovision,"No.12-4-5/2, Ramayya St","No.12-4-5/2, Ramayya St, Surya Rao Peta, Kakinada, Andhra Pradesh 533001",,,,,Andhra Pradesh,India,,,,,,,,,533001.0,,,,,
Shopping,Electronics & Appliances,Kakinada,JAIN ELECTRICAL & ELECTRONICS,"Gold market center, D.NO.37-1-32","Gold market center, D.NO.37-1-32, Main Rd, opp. Indian Bank, near Jain Temple, Suryanarayana Puram, Kakinada, Andhra Pradesh 533001",,,,,Andhra Pradesh,India,,,,,,,,,533001.0,,,,,
Shopping,Electronics & Appliances,Kakinada,Cool Zone Electronics,"Ramayya St, Rama Rao Peta","Ramayya St, Rama Rao Peta, Kakinada, Andhra Pradesh 533001",,,,,Andhra Pradesh,India,,,,,,,,,533001.0,,,,,
Shopping,Electronics & Appliances,Kakinada,ADITYA ELECTRONICS,"ysr bridge down, near gandi statue","ysr bridge down, near gandi statue, Surya Rao Peta, Kakinada, Andhra Pradesh 533001",,,,,Andhra Pradesh,India,,,,,,,,,533001.0,,,,,
Shopping,Electronics & Appliances,Kakinada,LG Showroom,"12-1-20, Jawahar St","12-1-20, Jawahar St, opp. Tripura Sundari Temple Street, Rama Rao Peta, Kakinada, Andhra Pradesh 533001",,,,,Andhra Pradesh,India,,,,,,,,,533001.0,,,,,
Shopping,Electronics & Appliances,Kakinada,J K Enterprises,"Sri Sitarama Complex, Shop Nos.18","Sri Sitarama Complex, Shop Nos.18,19 & 20, opp. Town Hall, Kakinada, Andhra Pradesh 533001",,,,,Andhra Pradesh,India,,,,,,,,,533001.0,,,,,
Shopping,Electronics & Appliances,Kakinada,SRI LAKSHMI NARAYANA ELECTRONICS,"Yalla Vari Street, Cinema Rd","Yalla Vari Street, Cinema Rd, Kakinada, Andhra Pradesh 533001",,,,,Andhra Pradesh,India,,,,,,,,,533001.0,,,,,
Shopping,Electronics & Appliances,Kakinada,JAIN ELECTRONICS,"D.NO: 28-1-20, OPP:- KOTAIAH SWEETS MASJID CENTER","D.NO: 28-1-20, OPP:- KOTAIAH SWEETS MASJID CENTER, Main Rd, near BULCHAND SHOW ROOM, Suryanarayana Puram, Kakinada, Andhra Pradesh 533001",,,,,Andhra Pradesh,India,,,,,,,,,533001.0,,,,,
Shopping,Electronics & Appliances,Kakinada,Sl Electronics,"33-2-8, Rajaji St","33-2-8, Rajaji St, Suryanarayana Puram, Kakinada, Andhra Pradesh 533001",,,,,Andhra Pradesh,India,,,,,,,,,533001.0,,,,,
Shopping,Electronics & Appliances,Kakumanu,Google technologies Kakumanu,"kakumanu main road, google technologies","kakumanu main road, google technologies, opposite mahalakshmi cloth stores, Andhra Pradesh 522112",,,,,Andhra Pradesh,India,,,,,,,,,522112.0,,,,,
Shopping,Electronics & Appliances,Kakumanu,Hanuma Sai Electronics,"Backside Haranath Baba Temple, Zinnah Tower","Backside Haranath Baba Temple, Zinnah Tower, Guntur, Andhra Pradesh 522001",,,,,Andhra Pradesh,India,,,,,,,,,522001.0,,,,,
Shopping,Electronics & Appliances,Kakumanu,"Shajahan Electronics, Kakumanu","393X+853, Kakumanu","393X+853, Kakumanu, Andhra Pradesh 522112",,,,,Andhra Pradesh,India,,,,,,,,Google Plus Code: 393X+853,522112.0,,,,,
Shopping,Electronics & Appliances,Kakumanu,K V Electronics,"near bus stand, Kakumanu","near bus stand, Kakumanu, Andhra Pradesh 522112",,,,,Andhra Pradesh,India,,,,,,,,,522112.0,,,,,
Shopping,Electronics & Appliances,Kakumanu,K.Adam Dj Sound System,"kakumanu522112, Guntur","kakumanu522112, Guntur, Kakumanu, Andhra Pradesh 522112",,,,,Andhra Pradesh,India,,,,,,,,,522112.0,,,,,
Shopping,Electronics & Appliances,Kamalapuram,Sujan Mobiles,"Kamalapuram, Andhra Pradesh 516289","Kamalapuram, Andhra Pradesh 516289",,,,,Andhra Pradesh,India,,,,,,,,,516289.0,,,,,
