category,sub_category,city,name,area,address,phone_no_1,phone_no2,source,ratings,state,country,email,latitude,longitude,reviews,facebook_url,linkdin_url,twitter_url,description,pincode,virtual_phone_no,whatsapp_no,phone_no_3,avg_spent,cost_of_two
Food & Dining,Cafes,Rayadurg,MUBARAK PAN SHOP,"16, Nethaji Road","16, Nethaji Road, Nesepet, Rayadurgam, Andhra Pradesh 515865",,,,,Andhra Pradesh,India,,,,,,,,,515865.0,,,,,
Food & Dining,Cafes,Rayadurg,Sridhara Hotel,"1 Lakshmi Bazar, Anantapur Rd","1 Lakshmi Bazar, Anantapur Rd, Nesepet, Rayadurgam, Andhra Pradesh 515001",,,,,Andhra Pradesh,India,,,,,,,,,515001.0,,,,,
Food & Dining,Cafes,Rayadurg,Asif Chicken Center,"1 Lakshmi Bazar, Anantapur Rd","1 Lakshmi Bazar, Anantapur Rd, Nesepet, Rayadurgam, Andhra Pradesh 515001",,,,,Andhra Pradesh,India,,,,,,,,,515001.0,,,,,
Food & Dining,Cafes,Rayadurg,కృష్ణ & గోకుల్ హోటల్,"PV42+6G9, Nethaji Road","PV42+6G9, Nethaji Road, Nesepet, Rayadurgam, Andhra Pradesh 515865",,,,,Andhra Pradesh,India,,,,,,,,Google Plus Code: PV42+6G9,515865.0,,,,,
Food & Dining,Cafes,Rayadurg,JAMIA TEA STALL,"PV42+6G9, Nethaji Road","PV42+6G9, Nethaji Road, Nesepet, Rayadurgam, Andhra Pradesh 515865",,,,,Andhra Pradesh,India,,,,,,,,Google Plus Code: PV42+6G9,515865.0,,,,,
Food & Dining,Cafes,Renigunta,Zam Zam Arabic Restaurant,"JGV7+4CV Ramanavilas Circle, Kodur By-Pass Road","JGV7+4CV Ramanavilas Circle, Kodur By-Pass Road, Renigunta, Tirupati, Andhra Pradesh 517520",,,,,Andhra Pradesh,India,,,,,,,,Google Plus Code: JGV7+4CV,517520.0,,,,,
Food & Dining,Cafes,Renigunta,Sandwich Square Tirupati,"JGV7+4CV Ramanavilas Circle, Kodur By-Pass Road","JGV7+4CV Ramanavilas Circle, Kodur By-Pass Road, Renigunta, Tirupati, Andhra Pradesh 517520",,,,,Andhra Pradesh,India,,,,,,,,Google Plus Code: JGV7+4CV,517520.0,,,,,
Food & Dining,Cafes,Renigunta,BALU COFFEE HUB,"Renigunta Rd, Korramenugunta","Renigunta Rd, Korramenugunta, Tirupati, Andhra Pradesh 517501",,,,,Andhra Pradesh,India,,,,,,,,,517501.0,,,,,
Food & Dining,Cafes,Renigunta,REDDY'S CAFE,"19-2-76B1 Ground floor KBK PLAZA, Renigunta Rd","19-2-76B1 Ground floor KBK PLAZA, Renigunta Rd, opp. Kalanjali, Tirupati, Andhra Pradesh 517501",,,,,Andhra Pradesh,India,,,,,,,,,517501.0,,,,,
Food & Dining,Cafes,Renigunta,Zam Zam Arabian Family Restaurant,"19-2-76B1 Ground floor KBK PLAZA, Renigunta Rd","19-2-76B1 Ground floor KBK PLAZA, Renigunta Rd, opp. Kalanjali, Tirupati, Andhra Pradesh 517501",,,,,Andhra Pradesh,India,,,,,,,,,517501.0,,,,,
Food & Dining,Cafes,Renigunta,Minerva Coffee Shop,"19-2-76B1 Ground floor KBK PLAZA, Renigunta Rd","19-2-76B1 Ground floor KBK PLAZA, Renigunta Rd, opp. Kalanjali, Tirupati, Andhra Pradesh 517501",,,,,Andhra Pradesh,India,,,,,,,,,517501.0,,,,,
Food & Dining,Cafes,Renigunta,THRI STAR Family Restaurant,"19-2-76B1 Ground floor KBK PLAZA, Renigunta Rd","19-2-76B1 Ground floor KBK PLAZA, Renigunta Rd, opp. Kalanjali, Tirupati, Andhra Pradesh 517501",,,,,Andhra Pradesh,India,,,,,,,,,517501.0,,,,,
Food & Dining,Cafes,Renigunta,Starkitchen,"19-2-76B1 Ground floor KBK PLAZA, Renigunta Rd","19-2-76B1 Ground floor KBK PLAZA, Renigunta Rd, opp. Kalanjali, Tirupati, Andhra Pradesh 517501",,,,,Andhra Pradesh,India,,,,,,,,,517501.0,,,,,
Food & Dining,Cafes,Renigunta,PVR CAFE,"JGR7+XFC, Renigunta Rd","JGR7+XFC, Renigunta Rd, cycle, Renigunta, Tirupati, Andhra Pradesh 517520",,,,,Andhra Pradesh,India,,,,,,,,Google Plus Code: JGR7+XFC,517520.0,,,,,
Food & Dining,Cafes,Renigunta,Vaibhav Grand,"JGR7+X7H, Renigunta","JGR7+X7H, Renigunta, Tirupati, Andhra Pradesh 517520",,,,,Andhra Pradesh,India,,,,,,,,Google Plus Code: JGR7+X7H,517520.0,,,,,
Food & Dining,Cafes,Renigunta,Amma Cafe,"JGR7+X7H, Renigunta","JGR7+X7H, Renigunta, Tirupati, Andhra Pradesh 517520",,,,,Andhra Pradesh,India,,,,,,,,Google Plus Code: JGR7+X7H,517520.0,,,,,
Food & Dining,Cafes,Renigunta,Nayudamma ruchulu renigunta,"Ntr circle, Gowri Nagar","Ntr circle, Gowri Nagar, Renigunta, Tirupati, Andhra Pradesh 517520",,,,,Andhra Pradesh,India,,,,,,,,,517520.0,,,,,
Food & Dining,Cafes,Renigunta,The Hungry Birds Cafe Birthday Party Venue Tirupati,"Ntr circle, Gowri Nagar","Ntr circle, Gowri Nagar, Renigunta, Tirupati, Andhra Pradesh 517520",,,,,Andhra Pradesh,India,,,,,,,,,517520.0,,,,,
Food & Dining,Cafes,Renigunta,Sri Annapurna Restaurant,"17-28-23, Akkarampalle","17-28-23, Akkarampalle, Renigunta, Tirupati, Andhra Pradesh 517520",,,,,Andhra Pradesh,India,,,,,,,,,517520.0,,,,,
Food & Dining,Cafes,Renigunta,Kadapa Family Restaurant A/C,"JGP3+XHP, Renigunta - Tirupathi Rd","JGP3+XHP, Renigunta - Tirupathi Rd, Gowri Nagar, Renigunta, Tirupati, Andhra Pradesh 517520",,,,,Andhra Pradesh,India,,,,,,,,Google Plus Code: JGP3+XHP,517520.0,,,,,
Food & Dining,Cafes,Renigunta,Indian Tea Centre,"JGP4+V52, Gowri Nagar","JGP4+V52, Gowri Nagar, Renigunta, Tirupati, Andhra Pradesh 517520",,,,,Andhra Pradesh,India,,,,,,,,Google Plus Code: JGP4+V52,517520.0,,,,,
Food & Dining,Cafes,Renigunta,SHA Cafe & Resto,"JGP4+V52, Gowri Nagar","JGP4+V52, Gowri Nagar, Renigunta, Tirupati, Andhra Pradesh 517520",,,,,Andhra Pradesh,India,,,,,,,,Google Plus Code: JGP4+V52,517520.0,,,,,
Food & Dining,Cafes,Renigunta,Garuda Cafe Tasty Thindi,"JGP4+V52, Gowri Nagar","JGP4+V52, Gowri Nagar, Renigunta, Tirupati, Andhra Pradesh 517520",,,,,Andhra Pradesh,India,,,,,,,,Google Plus Code: JGP4+V52,517520.0,,,,,
Food & Dining,Cafes,Renigunta,Cafe Nyra,"Ward 15 19, 3-12/D","Ward 15 19, 3-12/D, Renigunta Rd, Ashok Nagar, Tirupati, Andhra Pradesh 517501",,,,,Andhra Pradesh,India,,,,,,,,,517501.0,,,,,
Food & Dining,Cafes,Renigunta,Laziz Multicuisine Restaurant,"Ward 15 19, 3-12/D","Ward 15 19, 3-12/D, Renigunta Rd, Ashok Nagar, Tirupati, Andhra Pradesh 517501",,,,,Andhra Pradesh,India,,,,,,,,,517501.0,,,,,
Food & Dining,Cafes,Renigunta,Hotel KR Bhavan,"Ward 15 19, 3-12/D","Ward 15 19, 3-12/D, Renigunta Rd, Ashok Nagar, Tirupati, Andhra Pradesh 517501",,,,,Andhra Pradesh,India,,,,,,,,,517501.0,,,,,
Food & Dining,Cafes,Renigunta,ZAM ZAM Restaurant Karakkambadi,"Ward 15 19, 3-12/D","Ward 15 19, 3-12/D, Renigunta Rd, Ashok Nagar, Tirupati, Andhra Pradesh 517501",,,,,Andhra Pradesh,India,,,,,,,,,517501.0,,,,,
Food & Dining,Cafes,Renigunta,Vaishnavi Teastall and sangam agency,"Ward 15 19, 3-12/D","Ward 15 19, 3-12/D, Renigunta Rd, Ashok Nagar, Tirupati, Andhra Pradesh 517501",,,,,Andhra Pradesh,India,,,,,,,,,517501.0,,,,,
Food & Dining,Cafes,Renigunta,Start Kitchen Pure Vegetarian Restaurant,"Ward 15 19, 3-12/D","Ward 15 19, 3-12/D, Renigunta Rd, Ashok Nagar, Tirupati, Andhra Pradesh 517501",,,,,Andhra Pradesh,India,,,,,,,,,517501.0,,,,,
Food & Dining,Cafes,Renigunta,CHOTA CAFE,"Ward 15 19, 3-12/D","Ward 15 19, 3-12/D, Renigunta Rd, Ashok Nagar, Tirupati, Andhra Pradesh 517501",,,,,Andhra Pradesh,India,,,,,,,,,517501.0,,,,,
Food & Dining,Cafes,Renigunta,Hari Priya cafe,"Karakambadi Rd, opp. to bommala quarters","Karakambadi Rd, opp. to bommala quarters, Mangalam, Chennayyagunta, Tirupati, Andhra Pradesh 517507",,,,,Andhra Pradesh,India,,,,,,,,,517507.0,,,,,
Food & Dining,Cafes,Renigunta,Food in Train,"Karakambadi Rd, opp. to bommala quarters","Karakambadi Rd, opp. to bommala quarters, Mangalam, Chennayyagunta, Tirupati, Andhra Pradesh 517507",,,,,Andhra Pradesh,India,,,,,,,,,517507.0,,,,,
Food & Dining,Cafes,Renigunta,AROMAA PARADISE,"Karakambadi Rd, opp. to bommala quarters","Karakambadi Rd, opp. to bommala quarters, Mangalam, Chennayyagunta, Tirupati, Andhra Pradesh 517507",,,,,Andhra Pradesh,India,,,,,,,,,517507.0,,,,,
Food & Dining,Cafes,Renigunta,Sri Balaji Bhavan,"3-152, Post Office St","3-152, Post Office St, Gowri Nagar, Renigunta, Tirupati, Andhra Pradesh 517520",,,,,Andhra Pradesh,India,,,,,,,,,517520.0,,,,,
Food & Dining,Cafes,Renigunta,LUCKY FAMILY DHABA AND RESTAURANT A.C,"3-152, Post Office St","3-152, Post Office St, Gowri Nagar, Renigunta, Tirupati, Andhra Pradesh 517520",,,,,Andhra Pradesh,India,,,,,,,,,517520.0,,,,,
Food & Dining,Cafes,Renigunta,THE KING OF WINGS,"3-152, Post Office St","3-152, Post Office St, Gowri Nagar, Renigunta, Tirupati, Andhra Pradesh 517520",,,,,Andhra Pradesh,India,,,,,,,,,517520.0,,,,,
Food & Dining,Cafes,Renigunta,Blue Fox,"3-152, Post Office St","3-152, Post Office St, Gowri Nagar, Renigunta, Tirupati, Andhra Pradesh 517520",,,,,Andhra Pradesh,India,,,,,,,,,517520.0,,,,,
Food & Dining,Cafes,Renigunta,Happy Punjabi Dhaba,"Renigunta Rd, beside Reliance Super Market","Renigunta Rd, beside Reliance Super Market, Ashok Nagar, Tirupati, Andhra Pradesh 517501",,,,,Andhra Pradesh,India,,,,,,,,,517501.0,,,,,
Food & Dining,Cafes,Renigunta,Kafe Tirupati (Quality Re-fined),"Renigunta Rd, beside Reliance Super Market","Renigunta Rd, beside Reliance Super Market, Ashok Nagar, Tirupati, Andhra Pradesh 517501",,,,,Andhra Pradesh,India,,,,,,,,,517501.0,,,,,
