category,sub_category,city,name,area,address,phone_no_1,phone_no_2,source,ratings,state,country,email,latitude,longitude,reviews,facebook_url,linkdin_url,twitter_url,description,pincode,virtual_phone_no,whatsapp_no,phone_no_3,avg_spent,cost_for_two,facebook_Url,linkdin_Url,twitter_Url,phone_no_1.1,linkedin_url
medical store,,Tadepalligudem Mandalam,Sri Lakshmi Ganesh Medical Stores,"Jubilee road, Ramarao Peta","Jubilee road, Ramarao Peta, Tadepalligudem, Andhra Pradesh 534101",,,,,Andhra Pradesh,India,,,,,,,,,534101.0,,,,,,,,,,
medical store,,Tadepalligudem Mandalam,Eswara Sai Medicals,"Koti Bomma Center Rd, Subbaraopet","Koti Bomma Center Rd, Subbaraopet, Tadepalligudem, Andhra Pradesh 534101",098482 59977,,,,Andhra Pradesh,India,,,,5.0,,,,,534101.0,,,,,,,,,,
medical store,,Tadepalligudem Mandalam,CHANDINI MEDICAL STORES,"3-1-87, Weakers Colony","3-1-87, Weakers Colony, Subbaraopet, Tadepalligudem, Andhra Pradesh 534101",093469 98928,,,,Andhra Pradesh,India,,,,5.0,,,,,534101.0,,,,,,,,,,
medical store,,Tadepalligudem Mandalam,SRI PAVAN MEDICAL & FANCY STORES,"Kadakatla Rd, Housing Board Colony","Kadakatla Rd, Housing Board Colony, Tadepalligudem, Andhra Pradesh 534101",096523 11456,,,,Andhra Pradesh,India,,,,5.0,,,,,534101.0,,,,,,,,,,
medical store,,Tadepalligudem Mandalam,Sri Lakshmi Ganapathi medical and fancy store,"DOOR NO : 2-18 , NEAR VINAYAKA TEMPLE Chinatadepalli","DOOR NO : 2-18 , NEAR VINAYAKA TEMPLE Chinatadepalli, Tadepalligudem, Andhra Pradesh 534101",094411 71484,,,,Andhra Pradesh,India,,,,4.0,,,,,534101.0,,,,,,,,,,
medical store,,Tadepalligudem Mandalam,MedPlus KN Road Tadepalligudem,"D No, Revenue Word No 12","D No, Revenue Word No 12, 1-39-9, Seetarampeta, Venkatasubbayya Colony, Tadepalligudem, Andhra Pradesh 534102",093914 17547,,medplusmart.com,,Andhra Pradesh,India,,,,,,,,,534102.0,,,,,,,,,,
medical store,,Tadepalligudem Mandalam,Satya Sri Medical Store,"RG6G+RPQ, Ramarao Peta","RG6G+RPQ, Ramarao Peta, Tadepalligudem, Andhra Pradesh 534101",,,,,Andhra Pradesh,India,,,,5.0,,,,,534101.0,,,,,,,,,,
medical store,,Tadepalligudem Mandalam,SRI SAI BALAJI MEDICAL AND GENERAL STORE,"Near Seshamahal Thearter, Sheshamahal Rd","Near Seshamahal Thearter, Sheshamahal Rd, Tadepalligudem, Andhra Pradesh 534101",093955 31969,,,,Andhra Pradesh,India,,,,,,,,,534101.0,,,,,,,,,,
medical store,,Tadepalligudem Mandalam,Sri Venkata Durga Medical Stores,"Tadepalligudem - Nallajerla Rd, Housing Board Colony","Tadepalligudem - Nallajerla Rd, Housing Board Colony, Tadepalligudem, Andhra Pradesh 534101",094901 10890,,,,Andhra Pradesh,India,,,,,,,,,534101.0,,,,,,,,,,
medical store,,Tadepalligudem Mandalam,LAKSHMI ARDHYA MEDICAL SHOP,"Gandhi Bomma Center, Indira Nagar Rd","Gandhi Bomma Center, Indira Nagar Rd, Karri Satyavathi Nagar, Tadepalligudem, Andhra Pradesh 534101",078938 39303,,,,Andhra Pradesh,India,,,,,,,,,534101.0,,,,,,,,,,
medical store,,Tadepalligudem Mandalam,Housing Board Medical Shop,"RGGC+552, Housing Board Colony","RGGC+552, Housing Board Colony, Tadepalligudem, Andhra Pradesh 534101",,,,,Andhra Pradesh,India,,,,,,,,,534101.0,,,,,,,,,,
medical store,,Tadepalligudem Mandalam,LAKSHMI MEDICAL STORE,"SHOP NO 1, NEAR","SHOP NO 1, NEAR, Tanuku Rd, Seetarampeta, Venkatasubbayya Colony, Tadepalligudem, Andhra Pradesh 534101",099491 86662,,,,Andhra Pradesh,India,,,,,,,,,534101.0,,,,,,,,,,
medical store,,Tadepalligudem Mandalam,DHANVANTARI MEDICALS & GENERAL STORES,"KONDA CHERUVU ROAD NEW FLY OVER, beside TADEPALLIGUDEM","KONDA CHERUVU ROAD NEW FLY OVER, beside TADEPALLIGUDEM, Andhra Pradesh 534101",089856 72435,,,,Andhra Pradesh,India,,,,,,,,,534101.0,,,,,,,,,,
medical store,,Tadepalligudem Mandalam,Rama vet medicals,"BSNL office oppogite, Railway Station Rd","BSNL office oppogite, Railway Station Rd, Ramarao Peta, Tadepalligudem, Andhra Pradesh 534101",094913 71915,,,,Andhra Pradesh,India,,,,4.4,,,,,534101.0,,,,,,,,,,
medical store,,Tadepalligudem Mandalam,D.M BIO REAGENTS,"RG6M+M84, near Masjid","RG6M+M84, near Masjid, Karri Satyavathi Nagar, Tadepalligudem, Andhra Pradesh 534101",099128 19915,,,,Andhra Pradesh,India,,,,5.0,,,,,534101.0,,,,,,,,,,
medical store,,Tadepalligudem Mandalam,Manikanta Medical&General Stores,"4CHH+C58, Tadepalligudem Road Matta Complex","4CHH+C58, Tadepalligudem Road Matta Complex, Gangannagudem - Koyyalagudem, Andhra Pradesh 534312",,,,,Andhra Pradesh,India,,,,5.0,,,,,534312.0,,,,,,,,,,
medical store,,Tadepalligudem Mandalam,STAR MEDICALS,"Subbaraopet, Tadepalligudem","Subbaraopet, Tadepalligudem, Andhra Pradesh 534101",096520 15579,,,,Andhra Pradesh,India,,,,,,,,,534101.0,,,,,,,,,,
medical store,,Vontimitta,PRASAD MEDICAL AND FANCY STORES,"92WG+JG8, Vontimitta","92WG+JG8, Vontimitta, Andhra Pradesh 516213",097058 45841,,,,Andhra Pradesh,India,,,,5.0,,,,,,,,,,,,,,,
medical store,,Vontimitta,"Goutam [Lalitha]Medicals,JIO Store","MAIN ROADD, HIGHWAY","MAIN ROADD, HIGHWAY, Vontimitta, Andhra Pradesh 516213",,,,,Andhra Pradesh,India,,,,5.0,,,,,,,,,,,,,,,
medical store,,Vontimitta,Kishore Medical,"2/666, Vontimitta","2/666, Vontimitta, Andhra Pradesh 516001",099515 84788,,,,Andhra Pradesh,India,,,,,,,,,,,,,,,,,,,
medical store,,Vontimitta,Sri Lakshmi Venkateswara Medical,"7/67, Main road","7/67, Main road, Vontimitta, Andhra Pradesh 516213",,,,,Andhra Pradesh,India,,,,,,,,,,,,,,,,,,,
Hospital & Clinics,pharma store,Ammalladinne,Sreenivasa Medical Stores (Nallamada),"Sreenivasa medical Store, 1-273","Sreenivasa medical Store, 1-273, Nallamada Rd, Nallamada, Andhra Pradesh 515501",094923 24192,,,,Andhra Pradesh,India,,,,5.0,,,,,515501.0,,,,,,,,,,
Hospital & Clinics,pharma store,Ammalladinne,SRI ARAVINDA PHARMACY,"సున్కులమ్మపాలెం, Tadipatri","సున్కులమ్మపాలెం, Tadipatri, Andhra Pradesh 515411",094946 87006,,,,Andhra Pradesh,India,,,,5.0,,,,,515411.0,,,,,,,,,,
Hospital & Clinics,pharma store,Ammalladinne,Sri sai srinivasa medical stores,"3, 259","3, 259, near post office, Garladinne, Andhra Pradesh 515731",,,,,Andhra Pradesh,India,,,,5.0,,,,,515731.0,,,,,,,,,,
Hospital & Clinics,pharma store,Ammalladinne,Swathi medical and retail store,"76H4+83V, Odulapalle","76H4+83V, Odulapalle, Andhra Pradesh 515581",094411 91389,,,,Andhra Pradesh,India,,,,4.8,,,,,515581.0,,,,,,,,,,
Hospital & Clinics,pharma store,Ammalladinne,Medical Shop,"9/150 Mainbazar, Talupula","9/150 Mainbazar, Talupula, Andhra Pradesh 515581",088860 77789,,,,Andhra Pradesh,India,,,,5.0,,,,,515581.0,,,,,,,,,,
Hospital & Clinics,pharma store,Ammalladinne,Rayalaseema Medical & General Store,"37WC+6P9, Gandlapenta","37WC+6P9, Gandlapenta, Andhra Pradesh 515521",096666 03031,,,,Andhra Pradesh,India,,,,5.0,,,,,515521.0,,,,,,,,,,
Hospital & Clinics,pharma store,Ammalladinne,SLNS MEDICAL AND GENARAL STORE,"PR65+F68, Narpala","PR65+F68, Narpala, Andhra Pradesh 515425",,,,,Andhra Pradesh,India,,,,,,,,,515425.0,,,,,,,,,,
Hospital & Clinics,pharma store,Ammalladinne,Sri Sairam Medical Store (All Type Of Medicines For Human And Animals Medicines Are Available Here),"2R47+7W8, Pedapavani","2R47+7W8, Pedapavani, Andhra Pradesh 523115",,,,,Andhra Pradesh,India,,,,4.3,,,,,523115.0,,,,,,,,,,
Hospital & Clinics,pharma store,Ammalladinne,Padmavathi Medicals,"Padmavathi medicals, main road","Padmavathi medicals, main road, Kalluru, Ananthapur, Andhra Pradesh 515774",094402 47622,,,,Andhra Pradesh,India,,,,3.9,,,,,515774.0,,,,,,,,,,
Hospital & Clinics,pharma store,Ammalladinne,Aswani medical store,"Pamidi Rd, Vajrakarur","Pamidi Rd, Vajrakarur, Andhra Pradesh 515832",,,,,Andhra Pradesh,India,,,,5.0,,,,,515832.0,,,,,,,,,,
Hospital & Clinics,pharma store,Ammalladinne,AMEEN MEDICALS & GRNERAL STORE,"3X94+CWG, PedaPalli-Kondakamarla Road","3X94+CWG, PedaPalli-Kondakamarla Road, Kondakamarla, Kondakomarla, Andhra Pradesh 515531",099597 19569,,,,Andhra Pradesh,India,,,,,,,,,515531.0,,,,,,,,,,
Hospital & Clinics,pharma store,Ammalladinne,SLN medical,"WX6Q+68M, Sreenivasapuram","WX6Q+68M, Sreenivasapuram, Nandalapadu Rural, Andhra Pradesh 515411",,,,,Andhra Pradesh,India,,,,4.2,,,,,515411.0,,,,,,,,,,
Hospital & Clinics,pharma store,Ammalladinne,Sreenivasa Medical Stores,"PR65+GPF, Narpala","PR65+GPF, Narpala, Andhra Pradesh 515425",094415 52077,,,,Andhra Pradesh,India,,,,5.0,,,,,515425.0,,,,,,,,,,
Hospital & Clinics,pharma store,Ammalladinne,SRI SAIRAM MEDICAL AND FANCY STORE,"brahmamgari gudi, Kanuparthi","brahmamgari gudi, Kanuparthi, Andhra Pradesh 523180",,,,,Andhra Pradesh,India,,,,5.0,,,,,523180.0,,,,,,,,,,
Hospital & Clinics,pharma store,Ammalladinne,Saibaba Medical Store,"M9QV+HFP, Muddanur","M9QV+HFP, Muddanur, Andhra Pradesh 516380",094409 22878,,,,Andhra Pradesh,India,,,,4.8,,,,,516380.0,,,,,,,,,,
Hospital & Clinics,pharma store,Ammalladinne,Sri Lakshmi Balaji Pharma,"D.No. 24-302, TS No. 1677","D.No. 24-302, TS No. 1677, Ground Floor, Opp. S.V.Fashion Gousul Wara street, Old Town, Aanathapur, Andhra Pradesh 515001",094409 22321,,,,Andhra Pradesh,India,,,,,,,,,515001.0,,,,,,,,,,
Hospital & Clinics,pharma store,Ammalladinne,SivaLalitha Medical Stores,"Nandala Padu, Nandalapadu Rural","Nandala Padu, Nandalapadu Rural, Andhra Pradesh 515411",098664 37277,,,,Andhra Pradesh,India,,,,,,,,,515411.0,,,,,,,,,,
Hospital & Clinics,pharma store,Ammalladinne,TEJA MEDICAL AND FANCY STORE,"Sk University Main Road, Rapthadu","Sk University Main Road, Rapthadu, Andhra Pradesh 515001",080742 31218,,,,Andhra Pradesh,India,,,,5.0,,,,,515001.0,,,,,,,,,,
Hospital & Clinics,pharma store,Ammalladinne,Arif Medical Store,"Phatan street, Talupula","Phatan street, Talupula, Andhra Pradesh 515581",081232 05020,,,,Andhra Pradesh,India,,,,,,,,,515581.0,,,,,,,,,,
Hospital & Clinics,pharma store,Ammalladinne,MedPlus Pamidi Circle,"Door Number 1/151, Yeddulapalli Road Both","Door Number 1/151, Yeddulapalli Road Both, Sides, Pamidi, Andhra Pradesh 515775",040 6700 6700,,medplusmart.com,,Andhra Pradesh,India,,,,5.0,,,,,515775.0,,,,,,,,,,
Hospital & Clinics,pharma store,Araku,Sri Srinivasa Medical & General Stores,"8VCJ+R2M, Araku Valley","8VCJ+R2M, Araku Valley, Andhra Pradesh 531149",094410 58104,,,,Andhra Pradesh,India,,,,5.0,,,,,531149.0,,,,,,,,,,
Hospital & Clinics,pharma store,Araku,Apollo Pharmacy Araku,"ambthkar.junction, government hospital","ambthkar.junction, government hospital, Araku Valley - Pachipenta Vlg, Araku Valley, Andhra Pradesh 531149",080 4448 1767,,apollopharmacy.in,,Andhra Pradesh,India,,,,5.0,,,,,531149.0,,,,,,,,,,
Hospital & Clinics,pharma store,Araku,teja medical & general stores,"Araku Valley, Andhra Pradesh 531149","Araku Valley, Andhra Pradesh 531149",085000 96850,,,,Andhra Pradesh,India,,,,5.0,,,,,531149.0,,,,,,,,,,
Hospital & Clinics,pharma store,Araku,Te,"Araku Valley, Andhra Pradesh 531149","Araku Valley, Andhra Pradesh 531149",,,,,Andhra Pradesh,India,,,,5.0,,,,,531149.0,,,,,,,,,,
Hospital & Clinics,pharma store,Araku,Ayushman medical stores,"Peda Labudu, Araku Valley","Peda Labudu, Araku Valley, Andhra Pradesh 531149",,,,,Andhra Pradesh,India,,,,,,,,,531149.0,,,,,,,,,,
Hospital & Clinics,pharma store,Araku,Sri Venkata Sai Krishna Medicals & Generals,"8VCJ+C8M, Araku - Visakhapatnam Rd","8VCJ+C8M, Araku - Visakhapatnam Rd, Araku Valley, Andhra Pradesh 531149",089855 89091,,,,Andhra Pradesh,India,,,,4.8,,,,,531149.0,,,,,,,,,,
Hospital & Clinics,pharma store,Araku,Sri Sai Sampath Medical and General Stores,"8VFH+FXX, Araku Valley","8VFH+FXX, Araku Valley, Andhra Pradesh 531149",,,,,Andhra Pradesh,India,,,,1.0,,,,,531149.0,,,,,,,,,,
Hospital & Clinics,pharma store,Araku,Sri Medicals & General Stores,"Zp colony, sarabaguda raod","Zp colony, sarabaguda raod, near maa super speciality dental hospital, Araku Valley, Andhra Pradesh 531148",079013 51957,,,,Andhra Pradesh,India,,,,,,,,,531148.0,,,,,,,,,,
Hospital & Clinics,pharma store,Araku,CHANDRIKA MEDICAL @GENERAL STORES,"Araku Valley, Andhra Pradesh 531151","Araku Valley, Andhra Pradesh 531151",,,,,Andhra Pradesh,India,,,,,,,,,531151.0,,,,,,,,,,
Hospital & Clinics,pharma store,Araku,RISHITA medical and general store,"8VFH+7R4, Araku Valley","8VFH+7R4, Araku Valley, Andhra Pradesh 531149",,,,,Andhra Pradesh,India,,,,,,,,,531149.0,,,,,,,,,,
Hospital & Clinics,pharma store,Araku,Jan Aushadhi Store,"Room No.2 & 10, Community Health Center.Arkuvlley","Room No.2 & 10, Community Health Center.Arkuvlley, Arakuvalley Mandal, Visakhapatnam, Andhra Pradesh 531151",096668 87929,,,,Andhra Pradesh,India,,,,,,,,,531151.0,,,,,,,,,,
Hospital & Clinics,pharma store,Atmakur,Medplus Atmakur,"D.No.1, 93/1","D.No.1, 93/1, KG Rd, Kappalakunta, Atmakur, Andhra Pradesh 518422",085172 24591,,medplusmart.com,,Andhra Pradesh,India,,,,4.5,,,,,518422.0,,,,,,,,,,
Hospital & Clinics,pharma store,Atmakur,Aruna medicals &General stores,"Nethaji nagar, college road","Nethaji nagar, college road, atmakur, kurnool., Atmakur, Andhra Pradesh 518422",094904 02555,,,,Andhra Pradesh,India,,,,4.0,,,,,518422.0,1.0,,,,,,,,,
Hospital & Clinics,pharma store,Atmakur,Apollo Pharmacy Atmakur,"Ground Floor, No. 1-54/4","Ground Floor, No. 1-54/4, KG Rd, Gareebnagar, Atmakur, Andhra Pradesh 518422",073373 54619,,apollopharmacy.in,,Andhra Pradesh,India,,,,4.1,,,,,518422.0,,,,,,,,,,
Hospital & Clinics,pharma store,Atmakur,Sri Rama medicals & fancy Store,"dist, Sriram Nagar","dist, Sriram Nagar, Atmakur, Andhra Pradesh 518422",,,,,Andhra Pradesh,India,,,,5.0,,,,,518422.0,,,,,,,,,,
Hospital & Clinics,pharma store,Atmakur,Aditya Medical & General store,"VHHM+MGJ, Sri Ramnagar","VHHM+MGJ, Sri Ramnagar, Kappalakunta, Atmakur, Andhra Pradesh 518422",,,,,Andhra Pradesh,India,,,,5.0,,,,,518422.0,,,,,,,,,,
Hospital & Clinics,pharma store,Atmakur,New sowmya pharmacy,"Door No-1, 3-16A","Door No-1, 3-16A, KG Rd, Gareebnagar, Atmakur, Andhra Pradesh 518422",085220 44446,,,,Andhra Pradesh,India,,,,5.0,,,,,518422.0,,,,,,,,,,
Hospital & Clinics,pharma store,Atmakur,New Mahaboob Medical&Fancy Store,"VHJM+FQP, Kappalakunta","VHJM+FQP, Kappalakunta, Atmakur, Andhra Pradesh 518422",094915 91389,,,,Andhra Pradesh,India,,,,4.0,,,,,518422.0,,,,,,,,,,
Hospital & Clinics,pharma store,Atmakur,VENKATESH MEDICAL & FANCY,"Akkiraju Colony, Atmakur","Akkiraju Colony, Atmakur, Andhra Pradesh 518422",099490 04493,,,,Andhra Pradesh,India,,,,4.9,,,,,518422.0,,,,,,,,,,
Hospital & Clinics,pharma store,Atmakur,Gayathri Medical Shop,"Sri Ramnagar, Kappalakunta","Sri Ramnagar, Kappalakunta, Atmakur, Andhra Pradesh 518422",099490 04496,,,,Andhra Pradesh,India,,,,5.0,,,,,518422.0,,,,,,,,,,
Hospital & Clinics,pharma store,Atmakur,Vishnu Medical And Fancy Stores,"1-121, KG Rd","1-121, KG Rd, Kappalakunta, Atmakur, Andhra Pradesh 518422",,,,,Andhra Pradesh,India,,,,,,,,,518422.0,,,,,,,,,,
Hospital & Clinics,pharma store,Atmakur,SIVA MEDICAL & FANCY STORES,"Boddurai Center, Durgi mandal","Boddurai Center, Durgi mandal, Durgi, Atmakur, Andhra Pradesh 522612",,,,,Andhra Pradesh,India,,,,5.0,,,,,522612.0,,,,,,,,,,
Hospital & Clinics,pharma store,Atmakur,Irfan Medical,"No 2, Vaddla Peta","No 2, Vaddla Peta, Atmakur, Andhra Pradesh 517004",077803 05717,,,,Andhra Pradesh,India,,,,5.0,,,,,517004.0,,,,,,,,,,
Hospital & Clinics,pharma store,Atmakur,SRI LAKSHMI MEDICALS,"Appalarao St, Sri Ramnagar","Appalarao St, Sri Ramnagar, Vaddla Peta, Atmakur, Andhra Pradesh 518422",,,,,Andhra Pradesh,India,,,,5.0,,,,,518422.0,,,,,,,,,,
Hospital & Clinics,pharma store,Atmakur,New Geetha Medical&Generalstores,"Mazeed Complex, D No 17/98-3-15","Mazeed Complex, D No 17/98-3-15, Nandyal Turning, Vaddla Peta, Atmakur, Andhra Pradesh 518422",079816 44589,,,,Andhra Pradesh,India,,,,5.0,,,,,518422.0,,,,,,,,,,
Hospital & Clinics,pharma store,Atmakur,Sri Venkateswara Medical Stores,"Shop No.4, Atmakur Rd","Shop No.4, Atmakur Rd, Main Bazaar, Atmakur, Andhra Pradesh 524322",,,,,Andhra Pradesh,India,,,,5.0,,,,,524322.0,,,,,,,,,,
Hospital & Clinics,pharma store,Atmakur,Sri Srinivasa Medical Stores,"JJCF+3H2 Bsr Center, Atmakur Rd","JJCF+3H2 Bsr Center, Atmakur Rd, J R Pet, Atmakur, Andhra Pradesh 524322",094907 77015,,,,Andhra Pradesh,India,,,,5.0,,,,,524322.0,,,,,,,,,,
Hospital & Clinics,pharma store,Atmakur,Prince,"Door No-1, 3-16A","Door No-1, 3-16A, KG Rd, Gareebnagar, Atmakur, Andhra Pradesh 518422",,,,,Andhra Pradesh,India,,,,,,,,,518422.0,,,,,,,,,,
Hospital & Clinics,pharma store,Atmakur,KOUSHIK MEDICAL AND GENERAL STORE,"VHJM+55F, Sri Ramnagar","VHJM+55F, Sri Ramnagar, Kappalakunta, Atmakur, Andhra Pradesh 518422",,,,,Andhra Pradesh,India,,,,2.5,,,,,518422.0,,,,,,,,,,
Hospital & Clinics,pharma store,Atmakur,Sai Raghavendra Medical Store,"J9W4+4PC, Kalyandurgam Rd","J9W4+4PC, Kalyandurgam Rd, Atmakur, Andhra Pradesh 515751",099497 81950,,,,Andhra Pradesh,India,,,,5.0,,,,,515751.0,,,,,,,,,,
Hospital & Clinics,pharma store,Atmakur,Arshiya Medical & Fancy Store,"VHHQ+RWR Jamia Masjid, Noor Masjid Rd","VHHQ+RWR Jamia Masjid, Noor Masjid Rd, Vaddla Peta, Atmakur, Andhra Pradesh 518422",,,,,Andhra Pradesh,India,,,,,,,,,518422.0,,,,,,,,,,
Hospital & Clinics,pharma store,Atmakur,Apollo Pharmacy VR Complex Atmakur Nellore,"Shop No.1, VR Complex","Shop No.1, VR Complex, 3/2/9/22, opp. APSRTC Bus Stand Road, Atmakur, Andhra Pradesh 524322",080 4448 1615,,apollopharmacy.in,,Andhra Pradesh,India,,,,5.0,,,,,524322.0,,,,,,,,,,
Hospital & Clinics,pharma store,Atmakur,Sangameshwara Circle,"VHJG+8V4, Dudyala Rd","VHJG+8V4, Dudyala Rd, Gareebnagar, Atmakur, Andhra Pradesh 518422",,,,,Andhra Pradesh,India,,,,3.5,,,,,518422.0,,,,,,,,,,
Hospital & Clinics,pharma store,Atmakur,Sri Sai medical and fany,"JJ9G+3X8, Main Bazar","JJ9G+3X8, Main Bazar, Atmakur, Andhra Pradesh 524322",,,,,Andhra Pradesh,India,,,,5.0,,,,,524322.0,,,,,,,,,,
Hospital & Clinics,pharma store,Atmakur,Krishnamedicals,"Krishnamedicals, Atmakur","Krishnamedicals, Atmakur, Andhra Pradesh 524322",095338 32815,,,,Andhra Pradesh,India,,,,5.0,,,,,524322.0,,,,,,,,,,
Hospital & Clinics,pharma store,Atmakur,Vijay Lakshmi Medical and Fancy,"Bus Station, Akkiraju Colony","Bus Station, Akkiraju Colony, Atmakur, Andhra Pradesh 518422",,,,,Andhra Pradesh,India,,,,,,,,,518422.0,,,,,,,,,,
Hospital & Clinics,pharma store,Atmakur,SANTHIRAM MEDICALS,"VHJG+HX5, Varadha Raja Swamy Project Rd","VHJG+HX5, Varadha Raja Swamy Project Rd, Vaddla Peta, Atmakur, Andhra Pradesh 518422",,,,,Andhra Pradesh,India,,,,,,,,,518422.0,,,,,,,,,,
Hospital & Clinics,pharma store,Atmakur,Apollo pharmacy Atmakur,"JJ9G+CJQ, Atmakur","JJ9G+CJQ, Atmakur, Andhra Pradesh 524322",,,,,Andhra Pradesh,India,,,,5.0,,,,,524322.0,,,,,,,,,,
Hospital & Clinics,pharma store,Atmakur,MR MEDICALS,"Sivaji Centre, J R Pet","Sivaji Centre, J R Pet, L.R. Palli, Atmakur, Andhra Pradesh 524322",094401 02961,,,,Andhra Pradesh,India,,,,4.0,,,,,524322.0,,,,,,,,,,
Hospital & Clinics,pharma store,Atmakur,New Masthan Medicals & Fancy,"Sivaji Centre, Vinjamur-Atmakur Rd","Sivaji Centre, Vinjamur-Atmakur Rd, J R Pet, Atmakur, Andhra Pradesh 524322",094923 39083,,,,Andhra Pradesh,India,,,,4.6,,,,,524322.0,,,,,,,,,,
Hospital & Clinics,pharma store,Atmakur,Apolo MEDICALS,"VHJM+88F, Netaji Nagar","VHJM+88F, Netaji Nagar, Kappalakunta, Atmakur, Andhra Pradesh 518422",,,,,Andhra Pradesh,India,,,,,,,,,518422.0,,,,,,,,,,
Hospital & Clinics,pharma store,Atmakur,Patanjalistore,"VHHM+JFQ, Kappalakunta","VHHM+JFQ, Kappalakunta, Atmakur, Andhra Pradesh 518422",,,,,Andhra Pradesh,India,,,,,,,,,518422.0,,,,,,,,,,
Hospital & Clinics,pharma store,Atmakur,Khadeer Medical Hall,"VHHQ+HRW, Vaddla Peta","VHHQ+HRW, Vaddla Peta, Atmakur, Andhra Pradesh 518422",,,,,Andhra Pradesh,India,,,,,,,,,518422.0,,,,,,,,,,
Hospital & Clinics,pharma store,Bathalapalli,Pavan Medical Stores,"GQ89+65H, Tadipatri - Dharmavaram Rd","GQ89+65H, Tadipatri - Dharmavaram Rd, Bathalapalli, Andhra Pradesh 515661",,,,,Andhra Pradesh,India,,,,5.0,,,,,515661.0,,,,,,,,,,
Hospital & Clinics,pharma store,Bathalapalli,SREE PHARMA,"9, Kamma St","9, Kamma St, Basinikonda, Madanapalle, Andhra Pradesh 517325",,,,,Andhra Pradesh,India,,,,5.0,,,,,517325.0,,,,,,,,,,
Hospital & Clinics,pharma store,Bathalapalli,Yaswanth Primary health care hospital & Medical store,"GQ88+4Q9, Bathalapalli","GQ88+4Q9, Bathalapalli, Andhra Pradesh 515661",,,,,Andhra Pradesh,India,,,,,,,,,515661.0,,,,,,,,,,
Hospital & Clinics,pharma store,Bathalapalli,PRASAD MEDICALS,"Bathalapalli, Anantapur","Bathalapalli, Anantapur, Andhra Pradesh 515661",089859 68497,,,,Andhra Pradesh,India,,,,5.0,,,,,515661.0,,,,,,,,,,
Hospital & Clinics,pharma store,Bathalapalli,Pharmacy,"GQ7C+8P9, Anantapur","GQ7C+8P9, Anantapur, Bathalapalli, Andhra Pradesh 515661",,,,,Andhra Pradesh,India,,,,3.3,,,,,515661.0,,,,,,,,,,
Hospital & Clinics,pharma store,Bathalapalli,Swarna Medical Store,"Ongole - Kurnool Main Rd, Gajulapalli","Ongole - Kurnool Main Rd, Gajulapalli, Andhra Pradesh 518583",080081 42264,,,,Andhra Pradesh,India,,,,4.0,,,,,518583.0,,,,,,,,,,
Hospital & Clinics,pharma store,Bathalapalli,Laksmivenkateswara medicals,"Tadipatri - Dharmavaram Rd, Bathalapalli","Tadipatri - Dharmavaram Rd, Bathalapalli, Andhra Pradesh 515661",,,,,Andhra Pradesh,India,,,,,,,,,515661.0,,,,,,,,,,
Hospital & Clinics,pharma store,Bathalapalli,Sri Shiva Sai Medicals,"Anantapur Road, Road","Anantapur Road, Road, Anantapur, Andhra Pradesh 515001",099666 96644,,,,Andhra Pradesh,India,,,,,,,,,515001.0,,,,,,,,,,
Hospital & Clinics,pharma store,Bathalapalli,Swathi medical and retail store,"76H4+83V, Odulapalle","76H4+83V, Odulapalle, Andhra Pradesh 515581",094411 91389,,,,Andhra Pradesh,India,,,,4.8,,,,,515581.0,,,,,,,,,,
Hospital & Clinics,pharma store,Bathalapalli,Bismillah medical and fancy store,"Gandhi Rd, Vempalli","Gandhi Rd, Vempalli, Andhra Pradesh 516329",,,,,Andhra Pradesh,India,,,,5.0,,,,,516329.0,,,,,,,,,,
Hospital & Clinics,pharma store,Bathalapalli,Bogati Basaveswhara Medical& general Store,"Jelli Palli, Andhra Pradesh 515711","Jelli Palli, Andhra Pradesh 515711",089196 35293,,,,Andhra Pradesh,India,,,,4.3,,,,,515711.0,,,,,,,,,,
Hospital & Clinics,pharma store,Bathalapalli,Sri Yeswanth Clinic,"Atp Road, Bathalapalli","Atp Road, Bathalapalli, Andhra Pradesh 515661",081421 79683,,,,Andhra Pradesh,India,,,,,,,,,515661.0,,,,,,,,,,
Hospital & Clinics,pharma store,Dwarakatirumala,Sai Medicals,"Bhimadole - Dwaraka Tirumala Rd, Dwaraka Tirumala","Bhimadole - Dwaraka Tirumala Rd, Dwaraka Tirumala, Andhra Pradesh 534426",090307 42074,,,,Andhra Pradesh,India,,,,4.8,,,,,534426.0,,,,,,,,,,
Hospital & Clinics,pharma store,Dwarakatirumala,Medical Shop,"X734+FHC, Dwaraka Tirumala","X734+FHC, Dwaraka Tirumala, Andhra Pradesh 534426",,,,,Andhra Pradesh,India,,,,,,,,,534426.0,,,,,,,,,,
Hospital & Clinics,pharma store,Dwarakatirumala,Aryavardan Medical And General Store,"1-21, Dwaraka Tirumala","1-21, Dwaraka Tirumala, Andhra Pradesh 534426",094936 96128,,,,Andhra Pradesh,India,,,,,,,,,534426.0,,,,,,,,,,
Hospital & Clinics,pharma store,Dwarakatirumala,Sanjeevani pharmacy,"Dwaraka Tirumala, Andhra Pradesh 534426","Dwaraka Tirumala, Andhra Pradesh 534426",070323 73248,,,,Andhra Pradesh,India,,,,4.8,,,,,534426.0,,,,,,,,,,
