category,sub_category,city,name,area,address,phone_no_1,phone_no_2,source,ratings,state,country,email,latitude,longitude,reviews,facebook_url,linkedin_url,twitter_url,description,pincode,virtual_phone_no,whatsapp_no,phone_no_3,avg_spent,cost_for_two
Electronics,Electronic Stores,Yerpedu,Bajaj Electronics - Tirupati 2,"4141b, Tirumala Bypass Rd","4141b, Tirumala Bypass Rd, Korlagunta, Tirupati, Andhra Pradesh 517501",091212 24429,,bajajelectronics.com,,Andhra Pradesh,India,,,,3.6,,,,,517501,,,,,
Electronics,Electronic Stores,Yerpedu,YOGIRAM ENTERPRISES,"4141b, Tirumala Bypass Rd","4141b, Tirumala Bypass Rd, Korlagunta, Tirupati, Andhra Pradesh 517501",091212 24429,,bajajelectronics.com,,Andhra Pradesh,India,,,,3.6,,,,,517501,,,,,
Electronics,Electronic Stores,Yerpedu,Kumar Electronics,"4141b, Tirumala Bypass Rd","4141b, Tirumala Bypass Rd, Korlagunta, Tirupati, Andhra Pradesh 517501",091212 24429,,bajajelectronics.com,,Andhra Pradesh,India,,,,3.6,,,,,517501,,,,,
Electronics,Electronic Stores,Yerpedu,Sri hare Krishna Electronics and Communication,"4141b, Tirumala Bypass Rd","4141b, Tirumala Bypass Rd, Korlagunta, Tirupati, Andhra Pradesh 517501",091212 24429,,bajajelectronics.com,,Andhra Pradesh,India,,,,3.6,,,,,517501,,,,,
Electronics,Electronic Stores,Yerpedu,V R ELECTRONICS RAJASET,"332, Netaji Rd","332, Netaji Rd, Royal Nagar, Tirupati, Andhra Pradesh 517501",094905 18603,,,,Andhra Pradesh,India,,,,5,,,,,517501,,,,,
Electronics,Electronic Stores,Yerpedu,Lenovo Exclusive Store - S V Computers N Gadgets,"332, Netaji Rd","332, Netaji Rd, Royal Nagar, Tirupati, Andhra Pradesh 517501",094905 18603,,,,Andhra Pradesh,India,,,,5,,,,,517501,,,,,
Electronics,Electronic Stores,Yerpedu,Bajaj Electronics,"Shop1, Grnd Floor","Shop1, Grnd Floor, CMR Complex, Tirumala Bypass Rd, opp. Hotel S.K, Korlagunta, Tirupati, Andhra Pradesh 517501",080 4804 5492,,store.lenovo.com,,Andhra Pradesh,India,,,,4.8,,,,,517501,,,,,
Electronics,Electronic Stores,Yerpedu,Elite Computers,"Shop1, Grnd Floor","Shop1, Grnd Floor, CMR Complex, Tirumala Bypass Rd, opp. Hotel S.K, Korlagunta, Tirupati, Andhra Pradesh 517501",080 4804 5492,,store.lenovo.com,,Andhra Pradesh,India,,,,4.8,,,,,517501,,,,,
Electronics,Electronic Stores,Yerpedu,iNfinite Apple Authorised Reseller,"Air Bypass Rd, Opp Andhra Bank","Air Bypass Rd, Opp Andhra Bank, SBI Colony, Padmavathi Nagar, Tirupati, Andhra Pradesh 517501",099630 22285,,,,Andhra Pradesh,India,,,,4.2,,,,,517501,,,,,
Electronics,Electronic Stores,Yerpedu,Paras Electricals,"Air Bypass Rd, Opp Andhra Bank","Air Bypass Rd, Opp Andhra Bank, SBI Colony, Padmavathi Nagar, Tirupati, Andhra Pradesh 517501",099630 22285,,,,Andhra Pradesh,India,,,,4.2,,,,,517501,,,,,
Electronics,Electronic Stores,Yerpedu,"Mahalakshmi electronics, electricals & hardware","Air Bypass Rd, Opp Andhra Bank","Air Bypass Rd, Opp Andhra Bank, SBI Colony, Padmavathi Nagar, Tirupati, Andhra Pradesh 517501",099630 22285,,,,Andhra Pradesh,India,,,,4.2,,,,,517501,,,,,
Electronics,Electronic Stores,Yerpedu,Prashanth Electricals & Electronics,"Kalahastri Road, Beside Mubarak Suppliers","Kalahastri Road, Beside Mubarak Suppliers, Renigunta.517520",,,,,Andhra Pradesh,India,,,,,,,,,517520,,,,,
Electronics,Electronic Stores,Yerpedu,Bhanu Electronics,"Kalahastri Road, Beside Mubarak Suppliers","Kalahastri Road, Beside Mubarak Suppliers, Renigunta.517520",,,,,Andhra Pradesh,India,,,,,,,,,517520,,,,,
Electronics,Electronic Stores,Yerpedu,VR PLAZA,"Kalahastri Road, Beside Mubarak Suppliers","Kalahastri Road, Beside Mubarak Suppliers, Renigunta.517520",,,,,Andhra Pradesh,India,,,,,,,,,517520,,,,,
Electronics,Electronic Stores,Yerpedu,Rayalaseema Enterprises,"JCRH+724, Chennai-Anantpur","JCRH+724, Chennai-Anantpur, Road, Srinivasa Nagar, Tirupati, Andhra Pradesh 517501",0877 225 7979,,,,Andhra Pradesh,India,,,,3.7,,,,,517501,,,,,
