category,sub_category,city,name,area,address,phone_no_1,phone_no_2,source,ratings,state,country,email,latitude,longitude,reviews,facebook_url,linkedin_url,twitter_url,description,pincode,virtual_phone_no,whatsapp_no,phone_no_3,avg_spent,cost_for_two
Shopping,mobile store,Kanigiri,Cell Park Mobile Repairing Store (Mastan Vali),"Prakasam Rd, Kanigiri","Prakasam Rd, Kanigiri, Andhra Pradesh 523230",093912 06941,,,,Andhra Pradesh,India,,,,,,,,,523230,,,,,
Shopping,mobile store,Kanigiri,"Manasvi mobile's, (sale's and service)","CG35+W97, Karanam Bazar Rd","CG35+W97, Karanam Bazar Rd, Kothapeta, Kanigiri, Andhra Pradesh 523230",,,,,Andhra Pradesh,India,,,,5,,,,,523230,,,,,
Shopping,mobile store,Kanigiri,Star Mobiles sales & servicing,"MSR Rd, Kanigiri","MSR Rd, Kanigiri, Andhra Pradesh 523230",070135 99799,,,,Andhra Pradesh,India,,,,5,,,,,523230,,,,,
Shopping,mobile store,Kanigiri,Sai Agencies Mobile Accessories,"CG34+XQ8, Kothapeta","CG34+XQ8, Kothapeta, Kanigiri, Andhra Pradesh 523230",,,,,Andhra Pradesh,India,,,,,,,,,523230,,,,,
Shopping,mobile store,Kanigiri,jio office,"CG43+GXX, Garlapet Rd","CG43+GXX, Garlapet Rd, Kanigiri, Andhra Pradesh 523230",,,,,Andhra Pradesh,India,,,,3.7,,,,,523230,,,,,
Shopping,mobile store,Kanigiri,Srinivas Mobile s Shop,"Shop No 25 Cheppula, Jawaharlal St","Shop No 25 Cheppula, Jawaharlal St, Kanigiri, Andhra Pradesh 523230",094929 51112,,,,Andhra Pradesh,India,,,,4,,,,,523230,,,,,
Shopping,mobile store,Kanigiri,Sri Venkata Sathish Mobile s,"Shop No 55, Cheppula Street","Shop No 55, Cheppula Street, Kanigiri, Andhra Pradesh 523230",099668 80180,,,,Andhra Pradesh,India,,,,4.5,,,,,523230,,,,,
Shopping,mobile store,Kanigiri,The Mobile Store,"MSR Rd, Kanigiri","MSR Rd, Kanigiri, Andhra Pradesh 523230",1860 267 6767,,,,Andhra Pradesh,India,,,,3.7,,,,,523230,,,,,
Shopping,mobile store,Koilkuntla,Arun mobiles,"Besides raghavendra sweets, RTC Bus Stand Rd","Besides raghavendra sweets, RTC Bus Stand Rd, Koilkuntla, Andhra Pradesh 518134",093939 30989,,,,Andhra Pradesh,India,,,,5,,,,,518134,,,,,
Shopping,mobile store,Koilkuntla,Shashi Mobailes,"2-32, Nagulakatta Street","2-32, Nagulakatta Street, Koilkuntla, Andhra Pradesh 518543",097048 69814,,,,Andhra Pradesh,India,,,,5,,,,,518543,,,,,
Shopping,mobile store,Koilkuntla,New Thahir Moblie Shop,"APSRTC Bus Stand Rd, Koilkuntla","APSRTC Bus Stand Rd, Koilkuntla, Andhra Pradesh 518134",,,,,Andhra Pradesh,India,,,,,,,,,518134,,,,,
Shopping,mobile store,Koilkuntla,Khaja Watch Centre & Mobiles,"10, R.T.C. Rd","10, R.T.C. Rd, Seetharama Nagar, Koilkuntla, Andhra Pradesh 518134",093463 76868,,,,Andhra Pradesh,India,,,,4.9,,,,,518134,,,,,
Shopping,mobile store,Koilkuntla,Bilal mobile garage,"68J8+24G, opposite Slvt theatre","68J8+24G, opposite Slvt theatre, Koilkuntla, Andhra Pradesh 518134",083745 42994,,youtube.com,,Andhra Pradesh,India,,,,5,,,,,518134,,,,,
Shopping,mobile store,Koilkuntla,SUNNY MOBILE SERVICE,"SLV THEATRE, Rangaraju Peta","SLV THEATRE, Rangaraju Peta, Koilkuntla, Andhra Pradesh 518134",,,,,Andhra Pradesh,India,,,,5,,,,,518134,,,,,
